Country,Code,Population,GDP_per_Capita,Year,City,Sport,Discipline,Athlete,Gender,Event,Medal
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"LUX, German",Men,Football,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"MASCHERANO, Javier",Men,Football,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"MEDINA, Nicolas",Men,Football,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"RODRIGUEZ, Clemente Juan",Men,Football,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"SAVIOLA, Javier",Men,Football,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"TEVEZ, Carlos",Men,Football,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"AICEGA, Magdalena",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"ANTONISKA, Mariela",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"ARRONDO, Ines",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"AYMAR, Luciana",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"BURKART, Claudia",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"DI GIACOMO, Marina Emilce",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"GARCIA, Agustina",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"GONZALEZ OLIVA, Mariana",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"GULLA, Alejandra",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"HERNANDEZ, Maria de la Paz",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"MARGALOT, Maria Mercedes",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"ONETO, Vanina Paula",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"ROGNONI, Maria Cecilia",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"RUSSO, Marine",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"STEPNIK, Ayelen Iara",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Hockey,Hockey,"VUKOJICIC, Paola",Women,Hockey,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Sailing,Sailing,"ESPINOLA, Carlos",Men,Tornado - Multihull,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Sailing,Sailing,"LANGE, Santiago",Men,Tornado - Multihull,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Tennis,Tennis,"SUAREZ, Paola",Women,Doubles,Bronze
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Tennis,Tennis,"TARABINI, Patricia",Women,Doubles,Bronze
Argentina,ARG,43416755,13431.8783398577,2008,Beijing,Basketball,Basketball,"DELFINO, Carlos Francisco",Men,Basketball,Bronze
